hive	time	value
R17	1542326400000	1.633
R17	1542240000000	0.784
R17	1542067200000	0
R17	1541980800000	0
R17	1541808000000	0
R17	1541721600000	0
R17	1541289600000	0
R17	1541203200000	3.071
R17	1541116800000	7.406
R17	1541030400000	11.38
R17	1540944000000	14.07
R17	1540857600000	17.731
R17	1540771200000	23.438
R17	1540684800000	28.459
R17	1540598400000	31.239
R17	1540512000000	33.27
R17	1540425600000	33.345
R17	1540339200000	34.497
R17	1540252800000	35.319
R17	1540166400000	35.486
R17	1540080000000	35.41
R17	1539993600000	37.764
R17	1539907200000	39.434
R17	1539820800000	42.589
R17	1539734400000	46.171
R17	1539648000000	49.446
R17	1539561600000	52.51
R17	1539475200000	54.223
R17	1539388800000	54.69
R17	1539302400000	53.96
R17	1539216000000	58.892
R17	1539129600000	60.8
R17	1539043200000	62.62
R17	1538956800000	63.419
R17	1538870400000	65.632
R17	1538784000000	67.845
R26	1573862400000	0
R26	1573776000000	0
R26	1573689600000	0
R26	1573603200000	0
R26	1573516800000	0
R26	1573430400000	0
R26	1573344000000	0
R26	1573257600000	0
R26	1573171200000	2.347
R26	1573084800000	6.59
R26	1572998400000	10.169
R26	1572912000000	12.29
R26	1572825600000	13.955
R26	1572739200000	15.193
R26	1572652800000	15.589
R26	1572566400000	14.109
R26	1572480000000	13.317
R26	1572393600000	12.761
R26	1572307200000	13.099
R26	1572220800000	13.677
R26	1572134400000	14.836
R26	1572048000000	17.232
R26	1571961600000	19.873
R26	1571875200000	22.499
R26	1571788800000	24.276
R26	1571702400000	25.874
R26	1571616000000	28.512
R26	1571529600000	30.903
R26	1571443200000	31.96
R26	1571356800000	33.442
R26	1571270400000	33.2
R26	1571184000000	33.769
R26	1571097600000	35.346
R26	1571011200000	35.849
R26	1570924800000	34.941
R26	1570838400000	36.42
R26	1570752000000	36.574
R26	1570665600000	39.134
R26	1570579200000	41.245
R26	1570492800000	43.019
R26	1570406400000	44.252
R26	1570320000000	45.532
R26	1570233600000	44.081
R26	1570147200000	45
R26	1570060800000	44.709
R26	1569974400000	43.971
R26	1569888000000	43.32
R26	1569801600000	42.33
R26	1569715200000	42.048
R26	1569628800000	44.392
R26	1569542400000	45.496
R26	1569456000000	46.192
R26	1569369600000	48.208
R26	1569283200000	49.496
R26	1569196800000	50.789
R26	1569110400000	51.722
R26	1569024000000	50.648
R26	1568937600000	49.215
R26	1568851200000	47.649
R26	1568764800000	45.205
R26	1568678400000	42.996
R26	1568592000000	42.491
R26	1568505600000	41.382
R26	1568419200000	42.122
R26	1568332800000	40.863
R26	1568246400000	42.114
R26	1568160000000	45.177
R26	1568073600000	47.762
R26	1567987200000	50.487
R26	1567900800000	55.342
R26	1567814400000	59.138
R26	1567728000000	64.393
R26	1567641600000	66.837
R26	1567555200000	66.943
R26	1567468800000	66.398
R26	1567382400000	64.741
R26	1567296000000	60.693
R26	1567209600000	56.282
R26	1567123200000	51.196
R26	1567036800000	47.428
R26	1566950400000	44.773
R26	1566864000000	43.802
R26	1566777600000	43.877
R26	1566691200000	44.828
R26	1566604800000	45.364
R26	1566518400000	45.863
R26	1566432000000	45.76
R26	1566345600000	46.167
R26	1566259200000	44.455
R26	1566172800000	43.547
R26	1566086400000	43.966
R26	1566000000000	45.458
R26	1565913600000	48.873
R26	1565827200000	52.176
R26	1565740800000	54.193
R26	1565654400000	57.678
R26	1565568000000	59.143
R26	1565481600000	59.842
R26	1565395200000	58.926
R26	1565308800000	56.483
R26	1565222400000	55.137
R26	1565136000000	52.855
R26	1565049600000	50.108
R26	1564963200000	49.313
R26	1564876800000	46.791
R26	1564790400000	46.759
R26	1564704000000	49.824
R26	1564617600000	52.693
R26	1564531200000	56.384
R26	1564444800000	60.724
R26	1564358400000	64.05
R26	1564272000000	68.166
R26	1564185600000	71.72
R26	1564099200000	73.178
R26	1564012800000	72.964
R26	1563926400000	74.849
R26	1563840000000	76.673
R26	1563753600000	77.456
R26	1563667200000	79.469
R26	1563580800000	81.115
R26	1563494400000	83.629
R26	1563408000000	87.34
R26	1563321600000	89.295
R26	1563235200000	90.955
R26	1563148800000	93.091
R26	1563062400000	94.39
R26	1562976000000	95.22
R26	1562889600000	95.386
R26	1562803200000	95.6
R26	1562716800000	95.771
R26	1562630400000	96.007
R26	1562544000000	96.17
R26	1562457600000	96.408
R26	1562371200000	96.649
R26	1562284800000	96.819
R26	1562198400000	97.018
R26	1562112000000	96.933
R26	1562025600000	96.948
R26	1561939200000	97.13
R26	1561852800000	97.067
R26	1561766400000	97.04
R26	1561680000000	97.029
R26	1561507200000	97.056
R26	1561420800000	97.203
R26	1561334400000	97.113
R26	1561248000000	96.903
R26	1561161600000	96.827
R26	1561075200000	96.737
R26	1560988800000	96.716
R26	1560902400000	96.386
R26	1560816000000	96.208
R26	1560729600000	96.136
R26	1560643200000	96.091
R26	1560556800000	96.18
R26	1560470400000	96.164
R26	1560384000000	96.13
R26	1560297600000	96.115
R26	1560211200000	96.245
R26	1560124800000	96.441
R26	1560038400000	96.529
R26	1559952000000	96.356
R26	1559865600000	96.23
R26	1559779200000	96.083
R26	1559692800000	95.978
R26	1559606400000	95.63
R26	1559520000000	95.275
R26	1559433600000	95.068
R26	1559347200000	94.853
R26	1559260800000	94.694
R26	1559174400000	94.442
R26	1559088000000	94.391
R26	1559001600000	94.119
R26	1558915200000	93.589
R26	1558828800000	93.006
R26	1558742400000	92.724
R26	1558656000000	92.805
R26	1558569600000	92.924
R26	1558483200000	92.886
R26	1558396800000	93.219
R26	1558310400000	93.897
R26	1558224000000	94.579
R26	1557964800000	95.191
R26	1557878400000	95.362
R26	1557792000000	95.582
R26	1557705600000	95.891
R26	1557619200000	96.113
R26	1557532800000	96.143
R26	1557446400000	96.091
R26	1557360000000	96.049
R26	1557273600000	96.112
R26	1557187200000	96.111
R26	1557100800000	96.287
R26	1557014400000	96.455
R26	1556928000000	96.59
R26	1556841600000	96.747
R26	1556755200000	96.821
R26	1556668800000	96.918
R26	1556582400000	97.067
R26	1556496000000	97.074
R26	1556409600000	96.952
R26	1556323200000	96.838
R26	1556236800000	96.735
R26	1556150400000	96.54
R26	1556064000000	96.148
R26	1555977600000	95.838
